SolNbr,Volume
1,3688.2744277343745
2,3817.038441854745
3,3897.3504971788193
4,3605.1681187065974
5,3608.5840425491897
6,3769.8669036603014
7,3314.646365465857
8,3330.937233521413
9,3482.277233521412
10,3730.51931430845
11,4004.9939592158566
12,3877.90273467882
13,3730.51931430845
14,3639.3740018084486
15,3889.95564092882
16,3203.216481206598
17,3220.267233521413
18,3714.9266276186354
19,3648.9318930121526
20,3565.3566962528926
21,3729.9572055121525
22,3207.1477057436346
23,3088.880636299191
24,3798.1433237991905
25,3623.930342086227
26,3623.9303420862266
27,3897.788800651042
28,3358.4983446325236
29,3220.267233521413
30,3615.3516588686352
31,3585.8225284288196
32,3278.9088235677086
33,3798.1433237991905
34,3874.0622277343764
35,3471.807106206598
36,3974.041824956598
37,3729.688764771413
38,3440.2865737991906
39,4077.4624053964126
40,3577.949377676504
41,3378.6458324797463
42,3839.830373278357
